Ticker,Supply
CATI,999670021
KNC,240636183
COTI,2567369780
MAV,2001359157
BICO,1214507772
GPS,10000000000
BR,998107038
IOST,30192808755
PEOPLE,5055069930
ROAM,990259176
SPELL,1.95813E+11
VELODROME,2328524320
ARK,192670337
SANTOS,30024483
AIN,995903099
METIS,10013594
ACX,1000361533
DIA,168356750
REZ,9823434992
BOME,68528111181
SHELL,1000555556
BITCOIN,998587856
RPL,21993014
ASPECTA,997762408
AKE,99671592775
USUAL,1623319892
FLUX,412048193
DOLO,992946058
COOKIE,998527246
CTK,153811223
CVC,1002750159
PIXEL,4986237561
HAEDAL,996599362
SXP,671963022
GIGA,9524397776
ZKJ,995628415
TAC,10031609844
AUCTION,7667536
AEVO,1000228102
USTC,6057506221
L3,3408483896
BANANAS31,10004617871
ACE,146834558
GOAT,993548387
AIXBT,995919347
STEEM,537179320
LQTY,100073028
PHA,997808619
RVV,9924702453
XION,199649825
CHR,847951962
SCRT,340540541
CLANKER,985016
SKYAI,997152472
SAROS,9943078913
FIDA,997339010
XNY,9973254881
CTSI,995092694
ARCSOL,996685998
BROCCOLI,974864865
MAGIC,347012733
CGPT,997727918
BTR0,997393571
AERGO,498690338
MOVR,12250684
TA,999701225
LUMIA,240504451
SLP,36381016644
SD,120562852
VINE,992565056
GODS,505544994
PONKE,552508245
HFT,998723676
COMMON,9864139021
CREATORBID,992515457
CUDIS,996379197
NTRN,997335997
VFY,992029226
ZEREBRO,998284734
DUSK,499570668
CETUS,993822924
NFP,996446340
AGLD,92873716
BMT,999632218
ARPA,1997050147
OXT,1000745990
4,991797166
CHILLGUY,1000779120
PYR,49990186
TAI,884534640
C98,994843316
HMSTR,99879807692
OBT,10000000000
ALPINE,39889106
DENT,99304418985
AVA,70996441
HIGH,99957573
RARE,997866894
PORTAL,1001305483
ZEUS,1000441112
OG,5014467
BOBA,500111832
FUN,10985148515
YALA,991750687
HOOK,499759268
VIC,209151650
MUBARAK,996593674
DODO,999001498
NAVX,996501749
COOK,4987348178
VANRY,2156015465
MBOX,549332559
EPT,10005341880
ALICE,99627064
TLM,6885553471
PHB,61414683
NS,498486933
MAVIA,248809190
SYS,849255881
A2Z,9627933600
RDNT,1502356268
PTB,5224719101
MLN,2988990
ASR,9992279
TRU,1390484740
TUTORIAL,835176991
SWARMS,989501312
SYN,249007280
BEL,99862826
FWOG,969979987
HEI,99773585
DF,997576737
FIO,998313659
NKN,794289898
GHST,52453027
IDEX,1005649718
ALU,988929104
KOMA,605063291
1NEIRO,47457627119
